symbol,model,prediction_file,pnl_mode,negative_mode,trading_days,first_date,last_date,ref_close,ref_price_date_used,shares,invested_notional,pnl_predicted,pnl_oracle,final_equity_predicted,final_equity_oracle,total_return_predicted,total_return_oracle,days_long_predicted,days_short_predicted,days_flat_predicted,days_long_oracle,days_short_oracle,days_flat_oracle,return_gap_oracle_minus_predicted,total_return_sign_predicted,total_return_sign_oracle,predicted_underperforms_oracle
SAZEW,Prophet,SAZEW_predictions_20260311_124915_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,1811.95,2026-03-19,55.0,99657.25,-9269.699999999997,34721.500000000015,90730.3,134721.5,-0.09269699999999997,0.34721500000000016,25,0,0,11,0,14,0.43991200000000014,-1,1,True
SBL,RandomForest,SBL_predictions_20260311_125039_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,10.97,2026-03-19,9116.0,100002.52,-4011.039999999979,33364.55999999998,95988.96000000002,133364.56,-0.04011039999999979,0.3336455999999998,20,0,5,10,0,15,0.3737559999999996,-1,1,True
SCBPL,RandomForest,SCBPL_predictions_20260311_125240_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,64.0,2026-03-19,1562.0,99968.0,-11808.720000000007,26897.64,88191.28,126897.64,-0.11808720000000007,0.2689764,24,0,1,13,0,12,0.38706360000000006,-1,1,True
SEL,Prophet,SEL_predictions_20260311_125610_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,24.96,2026-03-19,4006.0,99989.76000000001,0.0,46109.06000000002,100000.0,146109.06000000003,0.0,0.4610906000000002,0,0,25,11,0,14,0.4610906000000002,0,1,True
SEPL,Prophet,SEPL_predictions_20260311_125756_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,138.69,2026-03-19,721.0,99995.49,-5717.530000000024,33656.280000000006,94282.46999999997,133656.28,-0.05717530000000024,0.33656280000000005,17,0,8,10,0,15,0.3937381000000003,-1,1,True
SFL,Prophet,SFL_predictions_20260311_130003_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,1097.13,2026-03-19,91.0,99838.83000000002,-2129.4000000000083,15627.42999999999,97870.59999999999,115627.43,-0.021294000000000084,0.1562742999999999,25,0,0,7,0,18,0.17756829999999998,-1,1,True
SGF,Prophet,SGF_predictions_20260311_130148_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,87.57,2026-03-19,1142.0,100004.93999999999,-5241.779999999986,40129.88000000004,94758.22000000002,140129.88000000003,-0.05241779999999986,0.4012988000000004,25,0,0,11,0,14,0.45371660000000025,-1,1,True
SHEZ,RandomForest,SHEZ_predictions_20260311_130632_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,219.58,2026-03-19,455.0,99908.90000000001,-11447.799999999996,40331.20000000001,88552.20000000001,140331.2,-0.11447799999999995,0.4033120000000001,9,0,16,11,0,14,0.5177900000000001,-1,1,True
SHFA,RandomForest,SHFA_predictions_20260311_130816_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,466.3,2026-03-19,214.0,99788.2,-5923.52,27332.08000000002,94076.48,127332.08000000002,-0.0592352,0.2733208000000002,7,0,18,15,0,10,0.3325560000000002,-1,1,True
SHNI,RandomForest,SHNI_predictions_20260311_131030_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,8.88,2026-03-19,11261.0,99997.68000000001,-7882.6999999999725,62498.55,92117.30000000003,162498.55,-0.07882699999999973,0.6249855000000001,11,0,14,9,0,16,0.7038124999999998,-1,1,True
